tokenId,classification,match,max_channel_delta,num_diff_pixels,onchain_sha256,ipfs_sha256,onchain_ahash,ipfs_ahash,onchain_dhash,ipfs_dhash,onchain_phash,ipfs_phash,ahash_dist,dhash_dist,phash_dist,max_perceptual_dist,perceptual_match
18385,rounding,False,1,6,99189a957c25681f7e1a8aaa923733c249cddeb690737f2482ab331fdf482cab,7fab4055d9d299154e155a5a67b5869e50412cb210f2f1bb5de9fdf75306740d,fff7e7dbebdbffff,fff7e7dbebdbffff,0008202048202020,0008202048202020,e4c692999999b333,e4c692999999b333,0,0,0,0,True
18386,rounding,False,1,6,fff0c300d3c3943a2638e456aef33229b5cddd437f60bd3ec2b66c313069ad81,e861ffe297bcb0d1d25a6a827eea0a833ada30a1a349ecb9043cb3107c857b54,ffe7c3c3c3c3c1ef,ffe7c3c3c3c3c1ef,0028204454446820,0028204454446820,f087934e9d4c992d,f087934e9d4c992d,0,0,0,0,True
18387,exact,True,0,0,c5cb484ec01c98422f280ae14716658bf2524aee65896ef069e687c6d024754b,c5cb484ec01c98422f280ae14716658bf2524aee65896ef069e687c6d024754b,ffffe7c3cb9bdbff,ffffe7c3cb9bdbff,0000204048844408,0000204048844408,bde3968df02126e1,bde3968df02126e1,0,0,0,0,True
18388,rounding,False,1,4,4af5b15ff2bcadfd6ef48a80a094bc995c4b481abc3f2d3a2f71dbd4c2d30cd6,1fefd17a39bef9f723d570023b40b5f6c258d526ceeabd2d2eca9d1bd7287853,ffffdbc3c3c3c3ef,ffffdbc3c3c3c3ef,0000142068202020,0000142068202020,b0cf93cc986d6334,b0cf93cc986d6334,0,0,0,0,True
18389,rounding,False,1,9,2d565dc8e2e7f37eb092a902de82a512668ad8cbbb3c8433304a5ba9d85ee1c1,1899f9d5c52a5c3a0790cab90646def219f76b0a33445b584a7be3183a960e05,f7e7fbe3e3fbf0e9,f7e7fbe3e3fbf0e9,0020544022444a56,0020544022444a56,eeb7428479cc994c,eeb7428479cc994c,0,0,0,0,True
18390,exact,True,0,0,f1d68723aa3557008faf5ee1569c99922e41173fbf020cec73cc462d6869a8b5,f1d68723aa3557008faf5ee1569c99922e41173fbf020cec73cc462d6869a8b5,ffcb83bbbbdbdbe7,ffcb83bbbbdbdbe7,004080c484444440,004080c484444440,bcc372c8878c9a67,bcc372c8878c9a67,0,0,0,0,True
18391,rounding,False,1,6,1591c0323734b44aeabff50107b0787d7deacb0e3eef5ec60a299d7dfd46e073,4c70ad5a6731227b2549a76cf2d79de3aeb1e99a8bed8e61ea53c4d5401dc177,ffffc3dbebdbf9ff,ffffc3dbebdbf9ff,0000200448040808,0000200448040808,e8b392cc9d6a3235,e8b392cc9d6a3235,0,0,0,0,True
18392,rounding,False,1,6,a035b001aef53613c509f230df9474105532cb2aa82894acf40bef06d66580e4,400d855c0b08cf33dd72458b817586d251c33b7c4cef30641a12165bdc224ba7,ffc78399abdbffff,ffc78399abdbffff,00208084c8442020,00208084c8442020,bc87d2cd9bcb0825,bc87d2cd9bcb0825,0,0,0,0,True
18393,exact,True,0,0,458ac932d6e709b12a286e09f094559c764fe83d7ce6551b93483d21e0c636f0,458ac932d6e709b12a286e09f094559c764fe83d7ce6551b93483d21e0c636f0,fff7e7c3c3c3e7ef,fff7e7c3c3c3e7ef,0010202048202020,0010202048202020,b4c6938d99c93336,b4c6938d99c93336,0,0,0,0,True
18394,exact,True,0,0,b4e48cb8b4eafd407ce21c593c016105351a645128b7056bd1a248354596eff9,b4e48cb8b4eafd407ce21c593c016105351a645128b7056bd1a248354596eff9,ffffe7c3c39bdbff,ffffe7c3c39bdbff,0000204054844420,0000204054844420,b8c3920d706d37f2,b8c3920d706d37f2,0,0,0,0,True
18395,exact,True,0,0,24f20eb8aa34353f2e5907929be47efc051648366510d25c7af2cde1c3a75270,24f20eb8aa34353f2e5907929be47efc051648366510d25c7af2cde1c3a75270,ffffe7dbebdbffff,ffffe7dbebdbffff,0000202848202020,0000202848202020,bccf92cd18613237,bccf92cd18613237,0,0,0,0,True
18396,exact,True,0,0,20e1f4489c43b15ec4682ae9a4fc27bed44972787ef8e11b4a1bbab214b8dd44,20e1f4489c43b15ec4682ae9a4fc27bed44972787ef8e11b4a1bbab214b8dd44,ffffc3c3c3c3e7ef,ffffc3c3c3c3e7ef,0000202050202020,0000202050202020,b0ce93cc9a6d1936,b0ce93cc9a6d1936,0,0,0,0,True
18397,exact,True,0,0,733c803355c38aae04ade88984cb02793d9ed76b0adfad84d6da3f97fcc4c8c0,733c803355c38aae04ade88984cb02793d9ed76b0adfad84d6da3f97fcc4c8c0,ffe7c383818181a3,ffe7c383818181a3,00284480c484c490,00284480c484c490,afd0944b85491eed,afd0944b85491eed,0,0,0,0,True
18398,rounding,False,1,6,ca5bcf52dfe651839ec3cbab1866997ad67dd0eb54f1322900ad0836a581b8bb,872a62e784c1e343f19ff1c7c14b5e16003fc56d5b2486aedfbd6f8aba0586fb,ffffe7dbebdbffff,ffffe7dbebdbffff,0000282048202020,0000282048202020,bcc792cc9c493237,bcc792cc9c493237,0,0,0,0,True
18399,rounding,False,1,1,a2e81c65ee0cbfa8a0b16c376cccdc5a3fd420388b11c800a50d663baa9e5409,708f23c19dd011dcf9e62df7513d54af28172454ec931c22a32a6008d61551a6,f7e7c3c3c3c3c1cf,f7e7c3c3c3c3c1cf,0020505050404840,0020505050404840,b4c7d24e95689d2c,b4c7d24e95689d2c,0,0,0,0,True
18400,rounding,False,1,5,a8423cd4546f026a4f3ea9c2b78710e1f52672cd2ff6b36281b21b8936134037,8ba5c2569549a51dbcf940239cc08d07c81e0180946707416d12a1769c641940,fffffbfffffbfbef,fffffbfffffbfbef,0000500444404040,0000500444404040,bcc133ce9bcc093c,bcc133ce9bcc093c,0,0,0,0,True
18401,exact,True,0,0,d27a5d8b18c168c8e949485d29496a2f23c2d4defde7f363aca4b4cbb3f9b0a0,d27a5d8b18c168c8e949485d29496a2f23c2d4defde7f363aca4b4cbb3f9b0a0,f7e7c3c3c3c3c3cf,f7e7c3c3c3c3c3cf,0020504060404040,0020504060404040,b4c7d2c6996cc83c,b4c7d2c6996cc83c,0,0,0,0,True
18402,exact,True,0,0,9f477fa473b3eb8c7894882c577b252587e950a43da21ffa917bf7d695cc5085,9f477fa473b3eb8c7894882c577b252587e950a43da21ffa917bf7d695cc5085,ffffe7c3c7c3e7ef,ffffe7c3c7c3e7ef,0000202840202020,0000202840202020,b0cf934d386563c6,b0cf934d386563c6,0,0,0,0,True
18403,exact,True,0,0,aaff3e005f4a69c28bf5b0d61eb454f46b2b1dda36675f6a8033a086455bbe39,aaff3e005f4a69c28bf5b0d61eb454f46b2b1dda36675f6a8033a086455bbe39,ffc5839b9bdbfbef,ffc5839b9bdbfbef,0040808484444450,0040808484444450,bd2bc2c097899967,bd2bc2c097899967,0,0,0,0,True
18404,rounding,False,1,27,0e701d0629b58dc54a5625c4acbf6aaf844c2f9704cbbb5b10d807d9fc9f484d,aca5d594494794998b461bf0b92b3d2054c2c6ff90654b10eb017c3836ca4a44,ffffc3c3c3dbe3ef,ffffc3c3c3dbe3ef,0000504040404040,0000504040404040,b4c3c3cc9e64d926,b4c3c3cc9e64d926,0,0,0,0,True
